SettlementID,InvoiceOrderID,ASIN,LineType,ItemAmount,FBAFeeDeduction,PromoTaxDeduction,NetAmount,CurrencyCode,CustomerDeliveryNote
SETTLE-2026-001,INV-AMZ-001,B08N5WRWNW,Order,150.00,-22.50,-5.00,122.50,USD,"Standard Order Processing"
SETTLE-2026-001,INV-AMZ-002,B07XJ8C8F5,Order,450.00,-67.50,-15.00,367.50,USD,"Customer Promo Applied"
SETTLE-2026-001,INV-AMZ-003,B09B2W8S7E,Refund,-120.00,18.00,4.00,-98.00,USD,"Customer Return Handling"
SETTLE-2026-001,INV-AMZ-004,B01M102O2D,Order,1200.00,-180.00,-80.00,940.00,USD,"High Fee Variance Test"
SETTLE-2026-001,INV-AMZ-005,B0813X28KP,Order,85.00,-12.75,0.00,72.25,USD,"Standard 2-Way Match"
SETTLE-2026-001,INV-AMZ-006,B07PVF6L29,Storage,0.00,-620.00,0.00,-620.00,USD,"Storage Charge Overcharge"
SETTLE-2026-001,INV-AMZ-007,B09H21KL09,Order,250.00,-37.50,0.00,212.50,EUR,"European Order EUR"
SETTLE-2026-001,INV-AMZ-008,INVALID-ID,Order,200.00,-30.00,0.00,170.00,USD,"Schema Corruption Test"
SETTLE-2026-001,INV-AMZ-009,B08N5WRWNW,Order,150.00,-22.50,-5.00,122.50,USD,"Duplicate Settlement Test"
SETTLE-2026-001,INV-AMZ-010,B031K9L02A,Order,310.00,-46.50,-10.00,253.50,USD,"Boundary Variance <$500"
SETTLE-2026-001,INV-AMZ-011,UNMAPPED-SKU-99,Order,500.00,-75.00,0.00,425.00,USD,"Unmapped Product SKU"
SETTLE-2026-001,INV-AMZ-012,B08N5WRWNW,Order,90.00,-13.50,0.00,76.50,USD,"Deliver to John Doe 555-0199"
SETTLE-2026-001,INV-AMZ-013,B07XJ8C8F5,Order,1500.00,-225.00,-120.00,1155.00,USD,"Percentage HITL >5%"
SETTLE-2026-001,INV-AMZ-014,B09B2W8S7E,Order,800.00,-120.00,-300.00,380.00,USD,"Manual Queue Rejection Test"
SETTLE-2026-001,INV-AMZ-015,B01M102O2D,Order,300.00,-45.00,0.00,255.00,USD,"Standard Matching 3"
SETTLE-2026-001,INV-AMZ-016,B0813X28KP,Order,600.00,-90.00,-10.00,500.00,USD,"Managed Identity Zero Trust"
SETTLE-2026-001,INV-AMZ-017,B07PVF6L29,Order,110.00,-16.50,0.00,93.50,USD,"OpenTelemetry Span Trace"
SETTLE-2026-001,INV-AMZ-018,B09H21KL09,Order,400.00,-60.00,0.00,340.00,USD,"Network Disruption Recovery"
SETTLE-2026-001,INV-AMZ-019,B031K9L02A,Order,950.00,-142.50,-20.00,787.50,USD,"Large Chunking Stream 1"
SETTLE-2026-001,INV-AMZ-020,B08N5WRWNW,Order,1050.00,-157.50,-25.00,867.50,USD,"Large Chunking Stream 2"
SETTLE-2026-001,INV-AMZ-021,B07XJ8C8F5,Order,75.00,-11.25,0.00,63.75,USD,"Standard Match Batch 21"
SETTLE-2026-001,INV-AMZ-022,B09B2W8S7E,Order,180.00,-27.00,-5.00,148.00,EUR,"EUR Match 2"
SETTLE-2026-001,INV-AMZ-023,B01M102O2D,Refund,-250.00,37.50,10.00,-202.50,USD,"Refund Processing 2"
SETTLE-2026-001,INV-AMZ-024,B0813X28KP,Order,2100.00,-315.00,-550.00,1235.00,USD,"High Dollar HITL >$500"
SETTLE-2026-001,INV-AMZ-025,B07PVF6L29,Storage,0.00,-750.00,0.00,-750.00,USD,"High Storage Fee Overcharge"
SETTLE-2026-001,INV-AMZ-026,B09H21KL09,Order,340.00,-51.00,-8.00,281.00,USD,"Fuzzy Promo Allocation 2"
SETTLE-2026-001,INV-AMZ-027,B031K9L02A,Order,125.00,-18.75,0.00,106.25,USD,"Standard 3-Way Match 27"
SETTLE-2026-001,INV-AMZ-028,B08N5WRWNW,Order,430.00,-64.50,-12.00,353.50,USD,"Standard 3-Way Match 28"
SETTLE-2026-001,INV-AMZ-029,B07XJ8C8F5,Order,890.00,-133.50,-15.00,741.50,USD,"Standard 3-Way Match 29"
SETTLE-2026-001,INV-AMZ-030,B09B2W8S7E,Order,670.00,-100.50,-10.00,559.50,USD,"Standard 3-Way Match 30"
