InvoiceOrderID,ERP_SKU,ExpectedGrossAmount,ExpectedFBAFee,ExpectedNetBalance,CurrencyCode,OrderStatus,PostingStatus
INV-AMZ-001,B08N5WRWNW,150.00,-22.50,122.50,USD,Open,Unposted
INV-AMZ-002,B07XJ8C8F5,450.00,-67.50,382.50,USD,Open,Unposted
INV-AMZ-003,B09B2W8S7E,-120.00,18.00,-98.00,USD,Open,Unposted
INV-AMZ-004,B01M102O2D,1200.00,-180.00,1020.00,USD,Open,Unposted
INV-AMZ-005,B0813X28KP,85.00,-12.75,72.25,USD,Open,Unposted
INV-AMZ-006,B07PVF6L29,0.00,0.00,0.00,USD,Open,Unposted
INV-AMZ-007,B09H21KL09,250.00,-37.50,212.50,EUR,Open,Unposted
INV-AMZ-008,INVALID-ID,0.00,0.00,0.00,USD,Invalid,Unposted
INV-AMZ-009,B08N5WRWNW,150.00,-22.50,122.50,USD,Closed,Posted
INV-AMZ-010,B031K9L02A,310.00,-46.50,263.50,USD,Open,Unposted
INV-AMZ-011,SKU-UNKNOWN,500.00,-75.00,425.00,USD,Open,Unposted
INV-AMZ-012,B08N5WRWNW,90.00,-13.50,76.50,USD,Open,Unposted
INV-AMZ-013,B07XJ8C8F5,1500.00,-225.00,1275.00,USD,Open,Unposted
INV-AMZ-014,B09B2W8S7E,800.00,-120.00,680.00,USD,Open,Unposted
INV-AMZ-015,B01M102O2D,300.00,-45.00,255.00,USD,Open,Unposted
INV-AMZ-016,B0813X28KP,600.00,-90.00,510.00,USD,Open,Unposted
INV-AMZ-017,B07PVF6L29,110.00,-16.50,93.50,USD,Open,Unposted
INV-AMZ-018,B09H21KL09,400.00,-60.00,340.00,USD,Open,Unposted
INV-AMZ-019,B031K9L02A,950.00,-142.50,807.50,USD,Open,Unposted
INV-AMZ-020,B08N5WRWNW,1050.00,-157.50,892.50,USD,Open,Unposted
INV-AMZ-021,B07XJ8C8F5,75.00,-11.25,63.75,USD,Open,Unposted
INV-AMZ-022,B09B2W8S7E,180.00,-27.00,153.00,EUR,Open,Unposted
INV-AMZ-023,B01M102O2D,-250.00,37.50,-212.50,USD,Open,Unposted
INV-AMZ-024,B0813X28KP,2100.00,-315.00,1785.00,USD,Open,Unposted
INV-AMZ-025,B07PVF6L29,0.00,0.00,0.00,USD,Open,Unposted
INV-AMZ-026,B09H21KL09,340.00,-51.00,289.00,USD,Open,Unposted
INV-AMZ-027,B031K9L02A,125.00,-18.75,106.25,USD,Open,Unposted
INV-AMZ-028,B08N5WRWNW,430.00,-64.50,365.50,USD,Open,Unposted
INV-AMZ-029,B07XJ8C8F5,890.00,-133.50,756.50,USD,Open,Unposted
INV-AMZ-030,B09B2W8S7E,670.00,-100.50,569.50,USD,Open,Unposted
